date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:47	14626/14626	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2024%20Mar%202020%2017:35:47%20GMT	https://wieisdemol.assets.avrotros.nl/_processed_/b/a/csm_upload_widm_14_blik_in_de_toekomst_1391692540_b9f4e12ed0.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/b/a/csm_upload_widm_14_blik_in_de_toekomst_1391692540_b9f4e12ed0.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:49	49879/49879	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2024%20Mar%202020%2017:35:42%20GMT	https://wieisdemol.assets.avrotros.nl/_processed_/3/d/csm_upload_avro_1655885_1393834907_d225dfa87d.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/3/d/csm_upload_avro_1655885_1393834907_d225dfa87d.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:50	39575/39575	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2024%20Mar%202020%2017:35:12%20GMT	https://wieisdemol.assets.avrotros.nl/_processed_/8/3/csm_upload_widm14_afl6_opdr3_1391609735_3c77fb1e73.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/8/3/csm_upload_widm14_afl6_opdr3_1391609735_3c77fb1e73.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:50	40122/40122	---M--	200	added ('OK')	image/jpeg	etag:%2286cbc3232a487d1355cb9324a1cc7589%22	https://wieisdemol.assets.avrotros.nl/_processed_/a/8/csm_item_1664_7e40c3e3c7.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/a/8/csm_item_1664_7e40c3e3c7.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:53	93765/93765	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:44:50%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/widm-seizoen-14-aflevering-7-moet-je-zien-27-02-2014/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/widm-seizoen-14-aflevering-7-moet-je-zien-27-02-2014/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:53	191358/191358	---MC-	200	added ('OK')	image/png	date:Tue,%2024%20Mar%202020%2017:35:58%20GMT	https://wieisdemol.assets.avrotros.nl/_processed_/6/6/csm_668562_8a72b89d58.png	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/6/6/csm_668562_8a72b89d58.png	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:53	91643/91643	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:44:52%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/opdracht-3-blik-in-de-toekomst/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/opdracht-3-blik-in-de-toekomst/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:53	92193/92193	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2007:39:31%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/widm-seizoen-14-aflevering-6-5-op-een-rij-06-02-2014/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/widm-seizoen-14-aflevering-6-5-op-een-rij-06-02-2014/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-babs-schutte/)
18:44:54	28655/28655	---M--	200	added ('OK')	image/jpeg	etag:%22da7dd04d1a825d339a7bfaa7c7cd7159%22	https://wieisdemol.assets.avrotros.nl/_processed_/4/e/csm_MolTalk8_78a71a2aa5.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/4/e/csm_MolTalk8_78a71a2aa5.jpg	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:44:55	29202/29202	---M--	200	added ('OK')	image/jpeg	etag:%2213936c6cbcff7b7455d94a27bbe6d6ad%22	https://wieisdemol.assets.avrotros.nl/_processed_/9/9/csm_Moltalk-gasten-7_336efc7bdc.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/9/9/csm_Moltalk-gasten-7_336efc7bdc.jpg	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
